,Date,y
0,2021-01,1540044.4534908596
1,2021-02,1495326.7616795918
2,2021-03,1591824.0816731714
3,2021-04,1512147.3952495689
4,2021-05,1737630.386656819
5,2021-06,1526119.448769323
6,2021-07,1631509.9428905225
7,2021-08,1632468.1788341356
8,2021-09,1676409.6686859573
9,2021-10,1692891.8903990914
10,2021-11,1637200.1902099394
11,2021-12,1702383.521683544
12,2022-01,1678068.3067526314
13,2022-02,1639806.5760452475
14,2022-03,1739438.1576467704
15,2022-04,1634169.6859574914
16,2022-05,1796850.2255149833
17,2022-06,1715926.3135632253
18,2022-07,1794737.5677421086
19,2022-08,1751242.1815711241
20,2022-09,1799779.0688323393
21,2022-10,1823462.9415125183
22,2022-11,1753330.0958934429
23,2022-12,1843952.5135374572
24,2023-01,1816313.3386148843
25,2023-02,1784378.8315874794
26,2023-03,1886354.809872676
27,2023-04,1755197.6435774583
28,2023-05,1857164.8860919788
29,2023-06,1907280.5964220993
30,2023-07,1957162.8277730811
31,2023-08,1869207.4194363572
32,2023-09,1922977.6440716842
33,2023-10,1953971.7266321222
34,2023-11,1869764.290838562
35,2023-12,1985958.1728144302
36,2024-01,1954766.7772208638
37,2024-02,1929021.8575490168
38,2024-03,1976624.158470766
39,2024-04,1922199.1995864979
40,2024-05,2212529.114845307
41,2024-06,1871011.1553666585
42,2024-07,2000625.8529590114
43,2024-08,2045974.9721892918
44,2024-09,2085951.2239599528
45,2024-10,2095343.4385026193
46,2024-11,2054452.0873105086
47,2024-12,2094356.9849382841
48,2025-01,-162832.24437638244
49,2025-02,-236568.34239074637
50,2025-03,-156456.9609516682
51,2025-04,-140110.35720440865
52,2025-05,-176655.5446530221
53,2025-06,-183676.9571559634
54,2025-07,-125261.2241010035
55,2025-08,-167924.36337736133
56,2025-09,-164221.90310187876
57,2025-10,24321.41858350899
58,2025-11,-36786.344325772974
59,2025-12,-87934.02166055601
60,2026-01,-76370.48689427951
61,2026-02,36451.790692813054
62,2026-03,15088.34018945317
63,2026-04,18435.474615355022
64,2026-05,-25006.991342651367
65,2026-06,-8544.239773088328
66,2026-07,15482.054508382904
67,2026-08,28762.893358266265
68,2026-09,-11671.640725114048
69,2026-10,163441.3604142383
70,2026-11,96023.47497812829
71,2026-12,111264.98307790724
72,2027-01,109289.60887257247
73,2027-02,159446.12834668084
74,2027-03,186952.96968627337
75,2027-04,176884.48827591736
76,2027-05,126877.09773068372
77,2027-06,166613.60286138393
78,2027-07,156481.14647272066
79,2027-08,225392.13952072116
80,2027-09,140091.80439784334
81,2027-10,302348.7632681983
82,2027-11,229751.27172366634
83,2027-12,311096.5122564312
84,2028-01,294038.14386369503
85,2028-02,281987.29797450115
86,2028-03,359133.3569908924
87,2028-04,335239.28148980613
88,2028-05,279002.96011041105
89,2028-06,341785.1446003523
90,2028-07,297743.1746575113
91,2028-08,421928.4901283037
92,2028-09,291074.20261920954
93,2028-10,441077.9861715786
94,2028-11,364424.44538108754
95,2028-12,511513.328071838
